k a,"When using NVLM, setting product mode to Ada Target does not updateADACAST_.CFG file",101275,"When using VectorCAST/Ada with NVLM licensing, selecting File->Set Product Mode->Ada Target Unit Test Environment and then clicking the Create New Environment button caused subsequent environments to be built with Ada Host settings, instead of Ada Target settings due to incorrect information in the ADACAST_.CFG file. This problem has been resolved in VectorCAST version 2024 SP3.",Correction in newer version (release notes),No Risk. This is a usability bug in the GUI that would likely lead to an obvious build failure.,No Risk,
k a,Class not testable when it contains member that is shared_ptr of an abstractwith a template-based field,101325,"In previous versions of VectorCAST/C++, classes with a member where a template parameter was an abstract type were sometimes not considered testable. This problem has been fixed in VectorCAST version 2024 SP3.",Correction in newer version (release notes),No Risk. The issue is easily detectable and thus the method that is not testable with VectorCAST could be tested another way.,No Risk,
k a,Corrupt environment database when building C++ environment withoverloaded constructors when using parallel processing,101328,"Previously, when using parallel processing, where VCAST_NUM_JOBS is set to a number greater than 1, VectorCAST/C++ encountered internal errors when building some environments containing overloaded constructors, leading to environment database corruption. This issue has been fixed in VectorCAST version 2024 SP3.",Correction in newer version (release notes),"The build process fails or terminates abnormally due to the internal error. As a result, the test environment is not successfully created, and no test execution can occur. This is easily detected and thus of no risk.",No Risk,
k a,'atg' executable now uses desktop or server edition licenses,101352,"Starting with VectorCAST version 2024 SP3, the 'atg' executable uses a Desktop Edition license rather than a Server Edition license when the environment variables VCAST_USE_CI_LICENSES and VCAST_USING_HEADLESS_MODE are not set.",Correction in newer version (release notes),No Risk. This is a licensing update.,No Risk,
k a,Preprocessing error in VectorCAST 2024 SP2 environments when optionC_PREPROCESS_FILE is set,101374,"In VectorCAST/C++ and VectorCAST/QA version 2024 SP2, configurations using a non-empty value for the C_PREPROCESS_FILE option would fail after preprocessing with no details in the error message. This problem is fixed in VectorCAST version 2024 SP3.",Correction in newer version (release notes),No Risk. This is a preprocessing error which is a build blocker and easily detected.,No Risk,
k a,"Parse error ""integer conversion results in truncation"" can occur duringtemplate instantiation with __attribute__ enable_if",101380,"Previously, VectorCAST/C++ incorrectly gave the parse error ""integer conversion results in truncation"" for some assignments in functions modified by __attribute__ enable_if during template instantiation. This problem has been resolved in VectorCAST version 2024 SP3.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,"Slow instrumentation when option ""Instrument template instantiations"" isTrue",VC-103,"Previously, under some circumstances, source file instrumentation in a VectorCAST Cover environment could be slow when the option ""Instrument template instantiations"" (VCAST_COVERAGE_FOR_TEMPLATE_INSTANTIATIONS) was set to True. This problem has been resolved in VectorCAST version 2024 SP3.",Correction in newer version (release notes),No Risk. This is a performance issue that does not affect test correctness.,No Risk,
k a,Support _amemd8 and _memd8 intrinsics for Code Composer,23653,"Previously, VectorCAST RSP incorrectly gave errors for source code containing the Code Composer intrinsics _amemd8 and _memd8. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),This is a feature for Code Composer Studio.,No Risk,
k a,Logical expressions in rvalue assignments should be included in MC/DC tests,50643,"Previously, VectorCAST/C++ did not include tests for boolean operators in rvalue assignments when generating MC/DC tests. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),"Potential Risk. This bug leads to missing MC/DC coverage. The report may look fine but the tool is silently failing to generate the required tests. This is a severe risk to regulatory compliance.
A problem solving process has been initiated to investigate the impact of these problems/bugs on medical devices already developed with the software tool.",Risk exists,
k a,Renesas asm statement incorrectly treated as function call when callcoverage enabled,65891,"In previous versions of VectorCAST RSP, the Renesas asm keyword was not recognized, causing a compile error in the test harness when instrumenting function call coverage. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a compile error easily detected.,No Risk,
k a,Issues applying Startup file changes to project,88232,"In previous versions of VectorCAST Project, changes to the Startup Files option (VCAST_STARTUP_FILE) such as adding or removing a file from the list could be lost when applying changes from an environment back to the Project. These issues have been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),"No risk, only impact on usability.",No Risk,
k a,Macro value used in testcase is incorrect when the value is a cast to a float,89009,"Previously, VectorCAST/C++ used incorrect macro values in testcases when the macro value in the source code was cast to a float, such as '#define IntCastToFloat (float)3'. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),"No Risk, there is no further information, probably it can be a silent error in SFP Mode, in Translation Unit all used macros will be resolved with real code.",No Risk,
k a,Parse error for designator for an anonymous union member when using Tasking compiler,89067,"Previously, VectorCAST RSP gave the error ""a designator for an anonymous union member can only appear within braces corresponding to that anonymous union"" for some designators when using the Tasking compiler. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,Incorrect error message on script import error when VALUE_USER_CODE isused for a return value instead of STUB_VAL_USER_CODE,90377,"Previously, VectorCAST/C++ incorrectly gave the error ""Expected data not allowed for 'return' value in stub"" when the 'VALUE_USER_CODE' command was used in a test script for a return value of a stub instead of the command 'STUB_VAL_USER_CODE' after an expected value command in the script. Starting with VectorCAST version 2024 SP2, the 'VALUE_USER_CODE' command in that case is treated as if it were 'STUB_VAL_USER_CODE', and when exported, contains the corrected command.",Correction in newer version (release notes),No Risk. This is a usability bug with a command-line script. The error is obvious and easily corrected.,No Risk,
k a,Parse error for clang code with __attribute__ pass_object_size,90738,"Previously, VectorCAST RSP incorrectly gave an error for some clang code with __attribute__ pass_object_size. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,IEC-62304 Class C (Medical) Coverage should not use simplified condition coverage by default,91235,"Previously, setting the VectorCAST Industry mode to IEC-62304 and the Coverage type to Class C (Medical) Coverage would incorrectly enable the simplified condition coverage option, VCAST_SIMPLIFIED_CONDITON_COVERAGE. This problem is fixed in VectorCAST version 2024 SP2. The IEC-62304 Class C (Medical) coverage type does not use simplified MC/DC condition coverage.",Correction in newer version (release notes),"No Risk, this option is not used.",No Risk,
k a,Test harness does not compile for classes containing maps of forward declared types,94403,"Previously, VectorCAST/C++ generated test harness code that did not compile for source code with classes containing std::map or std::multimap fields with forward declared contents. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a compile error easily detected.,No Risk,
k a,Harness compile error on generated interface file when template staticmember specialized,95178,"Previously in VectorCAST/C++, in environments with split user code (that is, the Build option VCAST_SPLIT_UC_FILES was set to True) or built with Object Testing mode, a harness compile error would occur when the UUT contained a template static array member that was specialized. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a compile error easily detected.,No Risk,
k a,Parse error for GNU C constant aggregate variables in initializers of static-lifetime variables,96675,"Previously, VectorCAST/C++ incorrectly gave the error ""expression must have a constant value"" for GNU C code with constant aggregate variables in initializers of static-lifetime variables. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,Improve information provided by 'clicast cover base_dir status',97076,"VectorCAST Cover version 2024 SP2 includes an improved base directory status report, providing better readability by organizing files under the corresponding base directories and reducing long file path names. clicast -e <env> Cover Base_dir Status",Correction in newer version (release notes),No Risk. This is a usability enhancement that improves report readability.,No Risk,
k a,"Executing ""clicast execute batch"" command with -u parameter should onlyrun the tests in the specified unit",97229,"Previously, the clicast ""execute batch"" command ran tests for the entire environment if a unit but not a subprogram was specified. Starting with VectorCAST version 2024 SP2, the command only runs the tests for the given unit. The compound and initialization tests are treated as if they belong to the first unit under test.",Correction in newer version (release notes),No Risk. This bug could lead to additional tests being run.,No Risk,
k a,"vcshell should handle compile commands followed by -Wp,-I<include dir>",97375,"In previous versions of VectorCAST/C++, include directories that bypassed the compiler and were passed directly through to the preprocessor (i.e., -Wp,-I<dir>) when creating the vcshell database were absent from subsequent vcdb queries. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This bug would likely result in an obvious build failure easily detected.,No Risk,
k a,'clicast help option <option>' command fails when called without languagespecifier,98175,"Previously, the 'clicast help option' command in VectorCAST/C++ and VectorCAST/Ada gave the error ""Did not understand category"" when called with an option specific to either C or Ada, but without the language flag (-lc or -lada). This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a usability bug with a command-line interface.,No Risk,
k a,Elements of char and unsigned char arrays incorrectly shown in report asstring type,98777,"Previously, when building a test case in a C++ unit test environment with an unsigned char array in the Parameter Tree, VectorCAST/C++ properly displayed the type as unsigned char. However, when the test was executed, the Execution report incorrectly displayed the type as a string for both Input and Expected Values. This problem is fixed in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. Replacing char array with string data types in a report could be misleading but is easily detectable and does not affect harness build.,No Risk,
k a,"VectorCAST fails to stub function and incorrectly reporting ""Function has areturn type which cannot be copied""",99466,"Previously, VectorCAST/C++ incorrectly treated return types with defaulted copy constructors as not copyable if they inherited from classes with private copy constructors made accessible through friendship. This problem caused link errors due to VectorCAST's refusal to stub functions returning these types. This issue has been fixed in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. The inability to stub a function is a build blocker which is easily detected.,No Risk,
k a,Handle compiler version in vcwrap BCIs for C source files(C_ALT_EDG_FLAGS),99669,"Previously, when using the vcwrap workflow in a C++ environment with C source files,VectorCAST Cover would use the compiler version specified in C_EDG_FLAGS even when the compiler in the build command matched the compiler in C_ALT_COMPILE_CMD. This behavior has been modified in VectorCAST version 2024 SP2, such that in this case vcwrap uses the compiler version specified in C_ALT_EDG_FLAGS.",Correction in newer version (release notes),"No Risk, Mixed C/C++ OB project are devide into 2 VectorCAST compiler",No Risk,
k a,"DataAPI error when GUI or clicast ""tools execute_commands"" is used todelete all tests prior to test import and execution",99875,"Previously, the DataAPI error of the type ""AttributeError: 'NoneType' object has no attribute 'parent_id'"" sometimes occurred when the GUI or clicast ""tools execute_commands"" was used to delete all tests prior to test import and execution. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. An API error that prevents test import/deletion could break an automated workflow. The error is obvious and thus consequent measures can be taken into account.,No Risk,
k a,Include both stdout and stderr in VectorCAST Project during environmentbuild and execute,99889,"In previous versions of VectorCAST Project, commands executed during environment build and execute would omit logging stderr messages. This problem has been fixed in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a usability enhancement. It does not affect test correctness.,No Risk,
k a,Set Product Mode doesn't change mode if wizard had previously been opened,99925,"Previously, File -> Set Product Mode had no effect if a mode was previously selected by bringing up the new environment wizard. Starting with VectorCAST version 2024 SP2, the product mode will always change.",Correction in newer version (release notes),No Risk. This is a usability bug in the GUI.,No Risk,
k a,Handle /Fe and /Fo simultaneously in a Compile & Link MSVC command,100059,"Previously, the vcwrap workflow was generating the instrumented files in the wrong directory for MSVC compile and link commands when a directory was specified with a /Fo option. VectorCAST Cover version 2024 SP2 resolves this issue and the instrumented files are now generated in the correct directory.",Correction in newer version (release notes),No Risk. This bug would likely cause an obvious build failure.,No Risk,
k a,Incorrect settings in compiler templates for ARM Clang,100080,"In previous versions of VectorCAST RSP, the ARM Clang compiler templates incorrectly set two compiler options, namely ""Collapse expanded header files"" (VCAST_COLLAPSE_STD_HEADERS) and ""Add a GNU system header marker"" (VCAST_GNU_SYSTEM_MARKER), causing compile errors in the test harness related to the system library. In addition, the templates lacked options in the linker command for generating the vcast.map file. These problems are resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This bug would likely cause an obvious build failure.,No Risk,
k a,Error instrumenting MCDC coverage for a scoped class member variableinside of a condition,100100,"In previous versions of VectorCAST/C++, instrumenting a scoped class member variable inside of a condition with MCDC coverage enabled could result in a syntax error in the instrumented file. This has been resolved in VectorCAST/C++ version 2024 SP2.",Correction in newer version (release notes),No Risk. This is an instrumentation error that causes a compile error which is easily detected.,No Risk,
k a,Harness compile error when VCAST_NO_MALLOC enabled and pointer sizelarger than a long,100217,"In previous versions of VectorCAST RSP, a compile error in the test harness could occur in a Target environment with Target options VCAST_NO_MALLOC or VCAST_NO_STDLIB set to TRUE when the specified compiler's pointer size was larger than a long. This problem is fixed in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a compile error easily detected.,No Risk,
k a,Parse error with code using _Float32 when --gnu_version under 130000,100222,"Previously, VectorCAST/C++ gave parse errors for GNU code containing _Floatn types such as _Complex _Float32. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,"""Fail if no expected return"" should not fail tests with an Expected returnvalue that is a struct field or array element",100227,"Previously, VectorCAST/C++ and VectorCAST/Ada incorrectly considered tests with a struct field return Expected Value or array element return Expected Value as having no Expected return value, and thus did not execute the tests when the Execute option ""Fail if no expected return"" (VCAST_TESTCASE_FAIL_ON_NO_EXP_RETURN) was set to True. The tests were incorrectly reported as failed. Starting with VectorCAST version 2024 SP2, those tests are executed.",Correction in newer version (release notes),No Risk. This bug causes a test to be incorrectly reported as failed which is easily detected.,No Risk,
k a,Eliminate warnings for unused labels and local variables,100235,"In previous versions of VectorCAST/C++, harness compile warnings occurred in some configurations due to unused labels and local variables. These warnings are fixed in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a code quality improvement that does not affect test correctness.,No Risk,
k a,Assist user in identifying why a source file is not being instrumented whenusing vcwrap workflow,100274,"Previously, VectorCAST Cover's vcwrap workflow did not display a helpful user message if a source file was not instrumented because it was deny-listed in the Cover environment, making it difficult to know exactly why it wasn't instrumented. This problem has been resolved in VectorCAST Cover version 2024 SP2. A helpful message is displayed and other user messages have also been updated.",Correction in newer version (release notes),No Risk. This is a usability enhancement.,No Risk,
k a,Reduce use of VCAST_strlen and VCAST_memset,100305,"In VectorCAST/C++ version 2024 SP2, the unit test harness has been updated to make fewer calls to VCAST_strlen and VCAST_memset, resulting in a modest performance improvement.",Correction in newer version (release notes),No Risk. This is a performance enhancement that does not affect test correctness.,No Risk,
k a,Show NVLM license ID in diagnostic report for products currently reserved,100440,"Starting with VectorCAST version 2024 SP2, the license ID of the currently-reserved NVLM licenses are displayed in the Available Licenses report or that section within the Diagnostic Report when NVLM licensing is in use. To generate the report:Help > Available Licenses or Help > Diagnostics > Create Diagnostic Report with ""Check License"" selected. clicast -lc|-lada REports Diagnostic [<outputfile>]",Correction in newer version (release notes),No Risk. This is a usability enhancement for troubleshooting licensing issues.,No Risk,
k a,Have --ignore-level be able to ignore a specific environment,100531,"Previously, when using the command line for VectorCAST Project (manage), the ""--ignore-level"" argument only allowed a compiler or test suite level to be specified for reporting,building, and executing. VectorCAST version 2024 SP2 updates this argument and allows more values from the project tree, down to the environment level as a valid argument input.",Correction in newer version (release notes),No Risk. This is a usability enhancement.,No Risk,
k a,Incorrect output generated for dependency command when using thevcwrap workflow,100533,"Previously, VectorCAST Cover's vcwrap workflow would generate the wrong name for a dependency file when a build command contained dependency file generation options such as -MD, but no dependency file is specified and an output file is specified without a file extension. This issue has been fixed in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This bug would likely cause a build failure easily detected by a developer.,No Risk,
k a,"Better error needed when ""Preprocess file"" option is invalid",100554,"In previous versions of VectorCAST/C++, invalid values for the ""Preprocess file"" option (C_PREPROCESS_FILE) would result in unclear error messages. In VectorCAST version 2024 SP2, the error message has been improved to indicate that the option's value must contain a '?'.",Correction in newer version (release notes),No Risk. This is a usability enhancement.,No Risk,
k a,Incorrect translation when converting empty values for file pathconfiguration items,100556,"In previous versions of VectorCAST, when an empty configuration value was set in the Project for the following items: VCAST_STARTUP_FILE, VARIANT_LOGICS_PATH, VCDB_FILENAME, VCAST_TEST_VALUES_DICTIONARY, the value would be erroneously interpreted when building the environment. This issue has been fixed in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This bug would likely cause an obvious build failure easily detected by a developer.,No Risk,
k a,Support case-insensitive file extensions on Windows when using the vcwrapworkflow,100638,"Previously, the vcwrap workflow did not support case-insensitive source file extensions on Windows with a python BCI. This problem is fixed in VectorCAST Cover version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a usability enhancement.,No Risk,
k a,Parser errors after globals with tic ( ' ) in their type,100647,"Previous versions of VectorCAST/Ada would incorrectly parse global variable declarations with a tic ( ' ) in the type, treating subsequent code as a list of more globals. This is fixed in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,File -> Set Product Mode -> Coverage Environment puts us in system testingmode,100670,"Previously, File -> Set Product Mode -> Coverage Environment put VectorCAST in system testing mode, causing the new system testing wizard to appear if the New Environment button was clicked. Starting with VectorCAST version 2024 SP2, selecting File -> Set Product Mode -> Coverage Environment puts VectorCAST into coverage environment mode.",Correction in newer version (release notes),No Risk. This is a usability bug in the GUI.,No Risk,
k a,Problem selecting coverage in Library Interface Mode environment,100682,"Previously, VectorCAST/C++ was not able to re-select coverage results for executed tests in an environment that was built in Library Interface Testing mode with a coverage-instrumented library. The checkbox for selecting and deselecting the result would also not respond to mouse clicks. This problem is fixed in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a usability bug in the GUI.,No Risk,
k a,Test-specific user code repeatedly compiled if an Auto Initialization testexists,100687,"In previous versions of VectorCAST/C++, the presence of an <<INIT>> testcase set to be an automatic initialization or automatic finalization test could cause test-specific user code to be repeatedly compiled before each test execution. This problem is fixed in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a performance issue that does not affect test correctness.,No Risk,
k a,File -> Set Product Mode -> Ada Target Unit Test Environment puts us inAda Host mode,100697,"Previously, selecting File -> Set Product Mode -> Ada Target Unit Test Environment put VectorCAST into Ada Host mode. Starting with VectorCAST version 2024 SP2, selecting an Ada Target will put VectorCAST into the Ada Target mode, causing a checkout of the target license.",Correction in newer version (release notes),No Risk. This is a usability bug in the GUI.,No Risk,
k a,Instrumentation points do not merge on expended macros,100722,"Previously, when using the coverage option ""Source File Perspective"" (SFP) and source files with complex macros, the Coverage viewer displayed one part of an expression as covered by variants, while the other parts were displayed as uninstrumented. VectorCAST would also not properly display coverage results for this code. These problems are resolved in VectorCAST/C++ and VectorCAST Cover version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a false positive issue where an expression is being covered but the coverage information is incorrect - it is easily detectable during test development.,No Risk,
k a,Handle preprocess command for gcc in JIT,100730,"Previously, the vcwrap workflow would incorrectly identify a preprocess command for the gcc compiler as a compile and link command. VectorCAST Cover version 2024 SP2 fixes this issue so that a preprocess command is correctly identified as one and the command will be executed without any modifications.",Correction in newer version (release notes),No Risk. This bug would likely lead to an obvious build failure.,No Risk,
k a,Handle preprocess command for MSVC in vcwrap workflow,100731,"Previously, the vcwrap workflow incorrectly identified a preprocess command for the MSVC compiler as a compile and link command. This resulted in incorrectly preprocessing the instrumented source file. This issue is fixed in VectorCAST Cover version 2024 SP2 and the preprocess command is correctly identified as one and the command executed without any modifications.",Correction in newer version (release notes),No Risk. This bug leads to an obvious build failure.,No Risk,
k a,Handle preprocess command for GHS in vcwrap workflow,100732,"Previously, when using the vcwrap workflow, VectorCAST Cover would incorrectly identify a preprocess command for the Green Hills compiler (GHS) as a compile and link command. VectorCAST Cover version 2024 SP2 fixes this issue so that a preprocess command is correctly identified as such and the command will be executed without any modifications.",Correction in newer version (release notes),No Risk. This bug leads to an obvious build failure.,No Risk,
k a,Instrumented file is incorrectly named when using MS Visual C++ with thevcwrap workflow,100738,"Previously, VectorCAST Cover would incorrectly name the instrumented file for a MicrosoftVisual C++ compile and link command with a single source file when an object file was specified with a /Fo option when using the vcwrap workflow. This problem is fixed in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This bug causes an obvious build failure.,No Risk,
k a,Handle preprocess command for Clang in vcwrap workflow,100743,"Previously, the vcwrap workflow would incorrectly identify a preprocess command for Clang compiler as a compile and link command. VectorCAST Cover version 2024 SP2 fixes this issue so that a preprocess command is correctly identified as such and the command is executed without modification.",Correction in newer version (release notes),No Risk. This bug leads to an obvious build failure.,No Risk,
k a,Handle preprocess command for TASKING with vcwrap workflow,100744,"Previously, when using the vcwrap workflow, VectorCAST Cover would incorrectly identify a preprocess command for the TASKING compiler as a compile and link command instead. VectorCAST Cover version 2024 SP2 fixes this issue so that a preprocess command is correctly identified as such and the command is executed without any modifications.",Correction in newer version (release notes),No Risk. This bug leads to an obvious build failure.,No Risk,
k a,VectorCAST sometimes unable to open environments after building andexecuting in GUI when NVLM licensing used,100756,"Previously, when using NVLM licensing, VectorCAST was sometimes unable to open environments after building and executing within a VectorCAST Project in vcastqt. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a usability bug in the GUI.,No Risk,
k a,Test data is lost when shared between environments with different accessibility of test case parameters,100771,"Previously, in a VectorCAST Project containing two environments with accessible or inaccessible portions of source code depending on their symbolic constant configurations, test script data that was held in the Unnapplied Test Data node was not correctly re-applied when the environment where that data was accessible was opened, causing test data loss. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),"NoRisk, lost test data can be recovered from GIT.",No Risk,
k a,Parse error in keil mode with functions overloaded on const vs non-constreference,100833,"Previously, VectorCAST/C++ gave the parse error ""invalid redeclaration of member function"" with Keil code where overloaded functions had parameter types that differed only by const vs non-const reference. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,Keil parse error for reinterpret_cast for a __packed struct,100837,"Previously, VectorCAST/C++ incorrectly returned an error ""reinterpret_cast cannot cast away const or other type qualifiers"" for Keil code with a reinterpret cast of a __packed type. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,Automatic refresh of Variants Logics file does not work when specified withrelative path,100841,"Previously, the Variants Logics file was not refreshed after being modified outside of a VectorCAST/C++ unit test environment if it had been specified with a relative path, causing test case status to be out of date. Since the Variant Logics file should be automatically refreshed prior to test case execution but wasn't, the wrong test cases were executed. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),"No Risk, it is a user error not an application error.",No Risk,
k a,Parse error on call to __atomic_fetch_add with parameter value which haspointer to double type,100865,"VectorCAST/C++ incorrectly returned an error ""first argument must be a pointer to integer or enum type"" when parsing Clang code containing calls to __atomic_fetch_add where the first parameter has a pointer to double type. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,Compound slot iteration editor very sluggish when there are thousands ofsymbolic constants,100870,"Previously, while the user was editing the Iterations cell for a slot in the Compound test case editor in an environment with a very large number of symbolic constants, the VectorCAST/C++ main window became unresponsive. This problem has been fixed in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a performance issue that does not affect test correctness.,No Risk,
k a,Remove boolean expressions report,100934,VectorCAST version 2024 SP2 removes the deprecated clicast-only commands to generate a list of boolean expressions in the source files of a VectorCAST/C++ or VectorCAST Cover environment. The following commands have been removed:clicast -e <cover env> cover report functions clicast -e <env> report functions,Correction in newer version (release notes),No Risk. This is a usability change that removes a deprecated feature.,No Risk,
k a,Harness code to allow type support on some const* types doesn't compilewith keil compilers,100959,"In previous versions of VectorCAST/C++ a compiler error of the form ""argument of type ""const char*"" is incompatible with parameter of type ""char*"" sometimes occurred for a generated harness file for some C compilers. This problem is resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a compile error easily detected.,No Risk,
k a,"Parse error ""an initializer cannot be specified for a flexible array member""given for valid IAR code",100976,"Previously, VectorCAST RSP incorrectly gave the error ""an initializer cannot be specified for a flexible array member"" when parsing some IAR code containing initializations of unconstrained arrays. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,Test's string value that is the same as a macro gets replaced with the macrovalue during test execution,100987,"In previous versions of VectorCAST/C++, test cases with string values saved as literal values which matched macro names would incorrectly have the literal value replaced with the macro value at test execution time. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),"Risk or Minor Risk, but not High Risk because probability of occurrence is very low. 
A problem solving process has been initiated to investigate the impact of these problems/bugs on medical devices already developed with the software tool.",Risk exists,
k a,VectorCAST crashes when coded test file with Chinese characters is loaded,101013,"Previously, VectorCAST/C++ would crash on certain systems when loading a Coded Tests file containing international (UTF-8) characters. This problem has been fixed in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a crash which is an easily detected usability bug that does not affect test correctness.,No Risk,
k a,Quickparse fails with IAR compiler tag if directory has multiple spaces andmultiple units present,101036,"In previous versions of VectorCAST RSP, environment builds could fail during ""Quickparse"" when the compiler was IAR and a source directory path contained spaces and multiple units were in use. This problem is fixed in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a build failure which is easily detected.,No Risk,
k a,"Parse error ""expression must have a constant value"" incorrectly given forsome assignments of const values",101049,"Previously, VectorCAST/C++ incorrectly gave the parser error ""expression must have a constant value"" for some assignments of const values in the source code under test during environment build. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,Harness compile error due to duplicate parameter names for parameter packargs,101060,"In previous versions of VectorCAST/C++, a harness compile error could occur when harness code was generated for a function using a parameter pack and a non-pack parameter whose type was an alias. This problem is fixed in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a compile error easily detected.,No Risk,
k a,Constraint error displayed when executing a subprogram's coded tests,101117,"Previously, when using the command line to execute all coded tests for a specified subprogram after reloading the coded tests driver subsequent to a modification, VectorCAST/C++ would display a constraint error after execution. This problem has been resolved in VectorCAST version 2024 SP2. For example: clicast -e <env> -u <unit> -s coded_tests_driver EXecute Batch",Correction in newer version (release notes),No Risk. This is a usability bug in the command-line interface. The error is obvious and easily corrected.,No Risk,
k a,Parse failure with g++ 13 typedefs for _Float128,101120,"Previously, VectorCAST/C++ incorrectly generated an error for GNU system headers containing ""typedef __float128 _Float128;"". This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,Use C_PREPROCESS_CMD for C++11 check,101138,"Previously, VectorCAST/C++ did not correctly determine that an environment's configuration was not suitable to support Coded Tests if the Compiler option ""Preprocessor command"" (C_PREPROCESS_CMD) did not support C++11 or greater, thus allowing the environment to build when it should have been prevented. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This bug would lead to an obvious build failure which is easily detected.,No Risk,
k a,Parse error with clang builtin type trait __is_trivially_equality_comparable,101154,"Previously, VectorCAST/C++ incorrectly gave the error ""type name is not allowed"" for Clang code containing the type trait helper __is_trivially_equality_comparable. This problem has been resolved in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,FLT_EPSILON can conflict with system/compiler definition,101187,"Previously, when Coded Tests support (VCAST_CODED_TESTS_SUPPORT) was enabled, the vUnit framework would provide a conflicting definition for FLT_EPSILON for systems with that constant defined. In VectorCAST/C++ version 2024 SP2, the vUnit framework only provides a definition for FLT_EPSILON when an existing definition does not exist.",Correction in newer version (release notes),"NoRisk, vUnit framework is not used.",No Risk,
k a,"Environment build error ""Internal error loop: write_orig_source_line: couldnot find line""",101204,"VectorCAST/C++ version 2024 SP1 did not correctly build some environments with source code using templates and a Library Stub set, causing a catastrophic build error with the error message ""Internal error loop: write_orig_source_line: could not find line"". This problem is fixed in VectorCAST version 2024 SP2.",Correction in newer version (release notes),No Risk. This is a build error easily detected.,No Risk,
